ggis_rowid,ggis_country_status,ggis_global_slug_coverage,ggis_peer_deviation,ggis_lag_affected
52,reporting,0.525974025974026,-0.12139249639249639,false
53,reporting,0.5681818181818182,-0.13690476190476186,false
54,reporting,0.525974025974026,-0.12770562770562754,false
55,reporting,0.6103896103896104,-0.12590187590187585,false
56,reporting,0.5438311688311688,-0.14123376623376627,false
57,reporting,0.6201298701298701,-0.10984848484848497,false
58,reporting,0.6672077922077922,-0.09343434343434343,false
59,reporting,0.6737012987012987,-0.06800144300144306,false
60,reporting,0.7337662337662337,-0.025974025974026094,false
61,reporting,0.7321428571428571,-0.022907647907647877,false
62,reporting,0.7321428571428571,-0.03409090909090906,false
63,reporting,0.7564935064935064,-0.030122655122655217,false
64,reporting,0.7321428571428571,-0.037878787878787956,false
65,reporting,0.7386363636363636,-0.03679653679653694,false
66,reporting,0.7288961038961039,-0.036976911976911886,false
67,reporting,0.7337662337662337,-0.05501443001443007,false
68,reporting,0.7191558441558441,-0.02759740259740262,false
69,reporting,0.75,-0.01280663780663771,false
70,reporting,0.7256493506493507,-0.012806637806637933,false
71,reporting,0.6672077922077922,-0.021645021645021578,false
72,reporting,0.6737012987012987,-0.013167388167388161,false
73,reporting,0.6087662337662337,-0.038239538239538184,false
74,reporting,0.650974025974026,-0.025072150072150023,false
75,reporting,0.5941558441558441,-0.0007215007215006786,false
76,reporting,0.6168831168831169,-0.008297258297258137,true
77,reporting,0.4659090909090909,-0.0021645021645021467,true
78,reporting,0.32792207792207795,-0.0023448773448773164,true
79,strong,0.0,0.0,true
80,nascent,0.15097402597402598,0.05073051948051949,false
81,nascent,0.15584415584415584,0.05113636363636363,false
82,nascent,0.16071428571428573,0.04910714285714288,false
83,nascent,0.16071428571428573,0.04545454545454547,false
84,nascent,0.18344155844155843,0.039772727272727265,false
85,strong,0.18344155844155843,0.03612012987012986,false
86,strong,0.18344155844155843,0.03287337662337661,false
87,strong,0.18344155844155843,0.030844155844155813,false
88,strong,0.18344155844155843,0.030844155844155813,false
89,strong,0.18506493506493507,0.03145292207792205,false
90,strong,0.18344155844155843,0.030844155844155813,false
91,strong,0.18344155844155843,0.030844155844155813,false
92,strong,0.18344155844155843,0.030844155844155813,false
93,strong,0.18344155844155843,0.028409090909090884,false
94,strong,0.2597402597402597,0.03145292207792208,false
95,strong,0.28084415584415584,0.03327922077922077,false
96,strong,0.2824675324675325,0.027800324675324728,false
97,strong,0.2824675324675325,0.02840909090909094,false
98,strong,0.2840909090909091,0.029829545454545525,false
99,strong,0.2857142857142857,0.03427128427128423,false
100,strong,0.30357142857142855,0.03841991341991341,false
101,strong,0.3051948051948052,0.038780663780663804,false
102,strong,0.3181818181818182,0.03896103896103892,false
103,strong,0.2922077922077922,0.027597402597402565,false
104,strong,0.3587662337662338,0.03120490620490618,false
105,strong,0.362012987012987,0.04329004329004327,false
106,strong,0.35714285714285715,0.031024531024531066,false
107,strong,0.35714285714285715,0.03246753246753248,false
108,strong,0.3587662337662338,0.03661616161616166,false
109,strong,0.362012987012987,0.02020202020202022,false
110,strong,0.35714285714285715,0.021645021645021745,false
111,strong,0.37337662337662336,0.03715728715728717,false
112,strong,0.400974025974026,0.042207792207792194,false
113,strong,0.39285714285714285,0.04834054834054835,false
114,strong,0.4172077922077922,0.051226551226551176,false
115,strong,0.43344155844155846,0.06475468975468973,false
116,strong,0.4253246753246753,0.06277056277056281,false
117,strong,0.43344155844155846,0.06457431457431462,false
118,strong,0.4431818181818182,0.07178932178932179,false
119,strong,0.4594155844155844,0.07034632034632027,false
120,strong,0.4448051948051948,0.06854256854256852,false
121,strong,0.4448051948051948,0.06836219336219335,false
122,strong,0.46915584415584416,0.06998556998557004,false
123,strong,0.4431818181818182,0.06421356421356422,false
124,strong,0.525974025974026,0.08369408369408377,false
